Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;22:00;6,9
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;23:00;6,4
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;00:00;5,8
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;01:00;5,1
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;02:00;5,1
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;03:00;4
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;04:00;3,3
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;05:00;2,5
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;06:00;3
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;07:00;2
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;08:00;4,4
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;09:00;10
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;10:00;13,9
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;11:00;16
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;12:00;17
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;13:00;16,3
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;14:00;15,8
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;15:00;15,5
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;16:00;14,1
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;17:00;11,6
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;18:00;10,4
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;19:00;9,5
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;20:00;9
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;21:00;7,5
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;22:00;7,3
Mazara del Vallo;Temperatura aria media oraria (°C);05/01/2023;23:00;6,8
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;00:00;6,5
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;01:00;6,1
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;02:00;5,6
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;03:00;5,6
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;04:00;4,7
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;05:00;4,5
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;06:00;4,7
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;07:00;3,9
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;08:00;6,2
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;09:00;11,8
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;10:00;15,8
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;11:00;16,5
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;12:00;17,5
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;13:00;18,1
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;14:00;17,4
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;15:00;16,7
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;16:00;14,8
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;17:00;12
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;18:00;10,6
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;19:00;8,8
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;20:00;8,1
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;21:00;8,6
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;22:00;8,5
Mazara del Vallo;Temperatura aria media oraria (°C);06/01/2023;23:00;8,7
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;00:00;9,2
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;01:00;8,1
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;02:00;7,4
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;03:00;7
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;04:00;6,3
