Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;10:00;1,75
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;11:00;2,05
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;12:00;1,92
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;13:00;0,65
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;14:00;0,66
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;15:00;0,54
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;16:00;0,23
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;17:00;0,01
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;18:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;19:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;20:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;21:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;22:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;23:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;07:00;0,06
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;08:00;0,62
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;09:00;1,28
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;10:00;1,77
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;11:00;1,51
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;12:00;2,13
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;13:00;1,95
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;14:00;1,48
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;15:00;0,99
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;16:00;0,32
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;17:00;0,01
